Row ID,Order ID,City,Customer Bdate,Customer Name,Customer Segment,Discount,Order Date,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code
4031,28774,McKeesport,1958,Jessica Myrick,Small Business,0.1,2018-01-01,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box. 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,East,180.36,2012-01-02,Regular Air,4.69,Pennsylvania,5.98,15131
1914,13729,Bowie,1960,Matt Collister,Home Office,0.08,2018-01-01,Not Specified,9,,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,East,872.48,2012-01-03,Express Air,35,Maryland,95.99,20715
5272,37537,Napa,1962,Alan Schoenberger,Corporate,0,2018-01-02,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,1239.06,2012-01-02,Delivery Truck,48.8,California,291.73,94559
6225,44069,Montebello,1964,Elizabeth Moffitt,Consumer,0.08,2018-01-02,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,West,614.8,2012-01-02,Regular Air,1.97,California,15.04,90640
5273,37537,Napa,1966,Alan Schoenberger,Corporate,0.07,2018-01-02,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,4083.19,2012-01-04,Delivery Truck,45,California,100.98,94559
6224,44069,Montebello,1968,Elizabeth Moffitt,Consumer,0.09,2018-01-02,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter. 8 1/2"" x 7""",Paper,26.71,West,137.63,2012-01-04,Express Air,2.15,California,9.11,90640
1279,9285,Prior Lake,1970,David Philippe,Consumer,0.06,2018-01-02,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder. 3"" Capacity. Black. 1040 sheets",Binders and Binder Accessories,-11.937,Central,124.81,2012-01-04,Regular Air,2.99,Minnesota,40.98,55372
5274,37537,Napa,1972,Alan Schoenberger,Corporate,0.05,2018-01-02,Low,32,0.59,Office Supplies,Small Box,Dual Level. Single-Width Filing Carts,Storage & Organization,1438.49,West,4902.38,2012-01-09,Regular Air,7.07,California,155.06,94559
5705,40354,Phenix City,1974,Patrick Jones,Home Office,0.09,2018-01-03,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,698,2012-01-04,Delivery Truck,52.2,Alabama,212.6,36869
1336,9762,Draper,1976,Larry Tron,Home Office,0.05,2018-01-03,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,West,262.76,2012-01-04,Regular Air,21.2,Utah,20.98,84020
5704,40354,Phenix City,1978,Patrick Jones,Home Office,0.03,2018-01-03,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,172.51,2012-01-04,Regular Air,2.99,Alabama,5.58,36869
1074,7909,Lake Oswego,1977,Alex Russell,Home Office,0.03,2018-01-03,High,29,0.44,Office Supplies,Wrap Bag,Dixon Prang® Watercolor Pencils. 10-Color Set with Brush,Pens & Art Supplies,24.55,West,122.23,2012-01-04,Regular Air,1.2,Oregon,4.26,97035
4223,30016,Kearney,1976,Bill Donatelli,Corporate,0.03,2018-01-03,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,Central,85.56,2012-01-05,Regular Air,5.66,Nebraska,5.28,68847
1663,11972,Layton,1975,Ann Steele,Corporate,0,2018-01-03,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-452.2695,West,896.49,2012-01-05,Delivery Truck,14.7,Utah,213.45,84041
1315,9637,Baton Rouge,1974,Andy Reiter,Corporate,0.08,2018-01-03,Low,12,0.66,Technology,Small Box,Fellowes Mobile Numeric Keypad. Graphite,Computer Peripherals,-236.43,South,522.49,2012-01-05,Regular Air,16.71,Louisiana,43.22,70802
4224,30016,Kearney,1973,Bill Donatelli,Corporate,0.01,2018-01-03,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,Central,754.6555,2012-01-06,Regular Air,2.5,Nebraska,110.99,68847
1317,9637,Baton Rouge,1972,Andy Reiter,Corporate,0.04,2018-01-03,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books. 6"" x 9"". 12/Pack",Paper,32.44,South,123.76,2012-01-07,Regular Air,2.27,Louisiana,10.14,70802
1316,9637,Baton Rouge,1971,Andy Reiter,Corporate,0.05,2018-01-03,Low,49,0.37,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,28359.4,2012-01-10,Regular Air,24.49,Louisiana,574.74,70802
6953,49730,Bryan,1970,Dave Hallsten,Home Office,0.06,2018-01-04,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,1039.56,2012-01-05,Delivery Truck,30,Texas,350.98,77803
1193,8710,Pharr,1969,Tamara Dahlen,Corporate,0.03,2018-01-04,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,Central,63.34,2012-01-05,Regular Air,6.27,Texas,3.36,78577
1194,8710,Pharr,1968,Tamara Dahlen,Corporate,0.07,2018-01-04,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book. One Form per Page",Paper,8.33,Central,151.35,2012-01-06,Express Air,1.93,Texas,3.71,78577
8013,57253,Bedford,1967,Darren Budd,Consumer,0.07,2018-01-05,Critical,48,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-335.24,Central,12635.75,2012-01-05,Regular Air,35,Texas,279.48,76021
8015,57253,Bedford,1966,Darren Budd,Consumer,0.04,2018-01-05,Critical,25,0.55,Technology,Small Box,232,Telephones and Communication,667.449,Central,2750.107,2012-01-05,Regular Air,5.26,Texas,125.99,76021
4555,32418,Dubuque,1965,Marina Lichtenstein,Corporate,0.08,2018-01-05,Not Specified,5,0.55,Furniture,Jumbo Drum,Hon Deluxe Fabric Upholstered Stacking Chairs. Rounded Back,Chairs & Chairmats,-131.31,Central,1244.19,2012-01-06,Delivery Truck,43.32,Iowa,243.98,52001
8014,57253,Bedford,1964,Darren Budd,Consumer,0.08,2018-01-05,Critical,49,0.7,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,-139.15575,Central,240.3,2012-01-06,Regular Air,5.68,Texas,4.91,76021
8011,57253,Bedford,1963,Darren Budd,Consumer,0.08,2018-01-05,Critical,43,0.58,Furniture,Jumbo Drum,Metal Folding Chairs. Beige. 4/Carton,Chairs & Chairmats,1.74,Central,78.08,2012-01-06,Regular Air,0.75,Texas,1.81,76021
3982,28451,Norman,1962,Pauline Chand,Small Business,0.02,2018-01-05,Critical,41,0.59,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,2593.14,Central,8958.46,2012-01-06,Regular Air,21.21,Oklahoma,209.84,73071
3588,25601,Ormond Beach,1967,Valerie Dominguez,Corporate,0.09,2018-01-05,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box. 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,South,257.41,2012-01-06,Regular Air,4.69,Florida,5.98,32174
47,290,Deer Park,1972,Dorris Love,Home Office,0.05,2018-01-05,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book. 11 x 5-3/4",Paper,-32.48,East,188.73,2012-01-06,Regular Air,5.83,New York,7.64,11729
164,1028,Fort Dodge,1977,Matt Collins,Consumer,0.03,2018-01-05,High,6,0.4,Technology,Small Pack,Memorex 4.7GB DVD+RW. 3/Pack,Computer Peripherals,-28.46,Central,165.75,2012-01-06,Regular Air,1.99,Iowa,28.48,50501
8012,57253,Bedford,1982,Darren Budd,Consumer,0.06,2018-01-05,Critical,29,0.64,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,-1358.9,Central,653.54,2012-01-07,Delivery Truck,53.03,Texas,20.98,76021
3981,28451,Norman,1987,Pauline Chand,Small Business,0.01,2018-01-05,Critical,21,0.59,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,1162.76,Central,4201.08,2012-01-07,Regular Air,11.54,Oklahoma,194.3,73071
8291,59232,Monroe,1992,Robert Waldorf,Home Office,0,2018-01-05,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper. 8 1/2 x 11"". Case",Paper,245.97,South,725.43,2012-01-07,Regular Air,5.76,Louisiana,30.98,71203
7352,52386,Mount Prospect,1997,Susan Vittorini,Home Office,0.08,2018-01-05,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-188.5812,Central,700.73,2012-01-07,Delivery Truck,26.3,Illinois,120.97,60056
3983,28451,Norman,1953,Pauline Chand,Small Business,0,2018-01-05,Critical,33,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,4913.7,2012-01-07,Delivery Truck,17.85,Oklahoma,145.45,73071
165,1028,Fort Dodge,1949,Matt Collins,Consumer,0.01,2018-01-05,High,11,0.59,Technology,Small Box,3285,Telephones and Communication,-60.39,Central,2021.147,2012-01-07,Regular Air,5.99,Iowa,205.99,50501
6773,48226,Bristol,1951,Corey Roper,Small Business,0.02,2018-01-06,Low,23,0.62,Furniture,Jumbo Box,Bush Westfield Collection Bookcases. Fully Assembled,Bookcases,-108.8,East,2357.45,2012-01-06,Delivery Truck,35.84,Connecticut,100.98,6010
3284,23488,Galesburg,1999,Julia West,Home Office,0.04,2018-01-06,Critical,30,0.62,Furniture,Jumbo Box,Riverside Palais Royal Lawyers Bookcase. Royale Cherry Finish,Bookcases,-11053.6,Central,26133.39,2012-01-07,Delivery Truck,44.55,Illinois,880.98,61401
2325,16770,Petersburg,1998,Muhammed Yedwab,Consumer,0.03,2018-01-06,Critical,17,0.57,Office Supplies,Wrap Bag,Sanford EarthWrite® Recycled Pencils. Medium Soft. #2,Pens & Art Supplies,0.61,South,37.06,2012-01-07,Regular Air,0.7,Virginia,2.1,23805
2003,14274,Hilton Head Island,1995,Craig Leslie,Consumer,0.03,2018-01-06,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,South,61.7185,2012-01-07,Regular Air,1.1,South Carolina,35.99,29915
2350,16961,Herndon,1992,Tracy Collins,Consumer,0.06,2018-01-06,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,South,46.86,2012-01-07,Regular Air,1.99,Virginia,1.7,20170
2001,14274,Hilton Head Island,1989,Craig Leslie,Consumer,0.01,2018-01-06,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,South,3674.08,2012-01-08,Delivery Truck,30,South Carolina,150.98,29915
948,6854,Royal Palm Beach,1986,Victor Price,Consumer,0.05,2018-01-06,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,129.84,2012-01-08,Express Air,4.95,Florida,6.64,33411
947,6854,Royal Palm Beach,1983,Victor Price,Consumer,0.07,2018-01-06,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,22.13,2012-01-08,Express Air,6.16,Florida,7.68,33411
2002,14274,Hilton Head Island,1980,Craig Leslie,Consumer,0.01,2018-01-06,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,South,1413.89,2012-01-08,Express Air,13.99,South Carolina,28.28,29915
2351,16961,Herndon,1977,Tracy Collins,Consumer,0.01,2018-01-06,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,South,1089.59,2012-01-08,Regular Air,5.09,Virginia,30.98,20170
5794,41094,Fairfax,1974,Maribeth Schnelling,Corporate,0.09,2018-01-06,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,South,298.97,2012-01-08,Regular Air,8.73,Virginia,6.48,20151
3283,23488,San Clemente,1971,Julia Barnett,Home Office,0.03,2018-01-06,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,West,101.77,2012-01-08,Regular Air,3.97,California,3.28,92672
5795,41094,Fairfax,1968,Maribeth Schnelling,Corporate,0.05,2018-01-06,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,South,159.05,2012-01-10,Regular Air,35,Virginia,20.34,20151
